Domain Name,Port,Protocol,Service,Region
app1.hybrid.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,US-1
app1.hybrid.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,US-1
hc-prod2.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,US-2
uswest4-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,US West 4
uswest5-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,US West 5
central-eu-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,EU-1
eucentral2-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,EU-2
eucentral3-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,EU-3
ca-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,CA Central
china-prod-hc.central.arubanetworks.com.cn,443,HTTPS,Streaming Telemetry,CN North
china2-hc.central.arubanetworks.com.cn,443,HTTPS,Streaming Telemetry,CN-2
apac-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,AP South
apaceast-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,AP Northeast
apacsouth-hc.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,AP SouthEast
uaenorth1.central.arubanetworks.com,443,HTTPS,Streaming Telemetry,UAE North
app1.central.arubanetworks.com,443,HTTPS,Device Communication,US-1
device-prod2.central.arubanetworks.com,443,HTTPS,Device Communication,US-2
device-uswest4.central.arubanetworks.com,443,HTTPS,Device Communication,US West 4
device-uswest5.central.arubanetworks.com,443,HTTPS,Device Communication,US West 5
device-eu.central.arubanetworks.com,443,HTTPS,Device Communication,EU-1
device-eucentral2.central.arubanetworks.com,443,HTTPS,Device Communication,EU-2
device-eucentral3.central.arubanetworks.com,443,HTTPS,Device Communication,EU-3
device-ca.central.arubanetworks.com,443,HTTPS,Device Communication,CA Central
device.central.arubanetworks.com.cn,443,HTTPS,Device Communication,CN North
device-china2.central.arubanetworks.com.cn,443,HTTPS,Device Communication,CN-2
app1-ap.central.arubanetworks.com,443,HTTPS,Device Communication,AP South
device-apaceast.central.arubanetworks.com,443,HTTPS,Device Communication,AP Northeast
device-apacsouth.central.arubanetworks.com,443,HTTPS,Device Communication,AP SouthEast
device-uaenorth1.central.arubanetworks.com,443,HTTPS,Device Communication,UAE North
device-prod-d2.central.arubanetworks.com,443,HTTPS,AOS-CX Communication,US-1
device-central-prod2-d2.central.arubanetworks.com,443,HTTPS,AOS-CX Communication,US-2
